value,ci,ds_complete,technique,dsn
0.0,"(0.0, 0.0047425375849830045)",ds68_CopulaGAN_QI2_ep100_bs100.csv,Copula GAN,ds68
0.0019961659054374,"(0.0, 0.005865747919986458)",ds37_CTGAN_QI2_ep100_bs50.csv,CTGAN,ds37
0.0011495300274978,"(0.0, 0.020252722156851876)",ds33_TVAE_QI2_ep200_bs50.csv,TVAE,ds33
0.0011482101254807,"(0.0, 0.017283719658368946)",ds32_TVAE_QI1_ep200_bs50.csv,TVAE,ds32
0.0038760682358574,"(0.0, 0.00805108007867897)",ds55_TVAE_QI1_ep100_bs100.csv,TVAE,ds55
0.0,"(0.0, 0.03402541024677802)",ds4_TVAE_QI0_ep200_bs100.csv,TVAE,ds4
0.0050583717653578,"(0.0, 0.011726004803736974)",ds50_CTGAN_QI1_ep200_bs100.csv,CTGAN,ds50
0.0079172232267905,"(0.0, 0.04358535996872276)",ds16_CopulaGAN_QI1_ep100_bs50.csv,Copula GAN,ds16
0.0043074956623984,"(0.0, 0.012902407103435268)",ds38_TVAE_QI2_ep200_bs100.csv,TVAE,ds38
0.0,"(0.0, 0.009576803479999993)",ds59_TVAE_QI2_ep200_bs100.csv,TVAE,ds59
0.0,"(0.0, 0.0032690502061361484)",ds8_CopulaGAN_QI2_ep100_bs50.csv,Copula GAN,ds8
0.0,"(0.0, 0.01906434840786904)",ds2_CTGAN_QI1_ep100_bs100.csv,CTGAN,ds2
0.0021630652252745,"(0.0, 0.011758509219412447)",ds38_CTGAN_QI1_ep100_bs100.csv,CTGAN,ds38
